Date,Open,High,Low,Close,Adj Close,Volume
2019-06-24,111.49,112.22,111.03,111.24,110.7,6032800
2019-06-25,110.88,111.43,110.4,110.72,110.18,6105000
2019-06-26,110.85,111.08,110.1,110.16,109.62,4161700
2019-06-27,110.06,110.51,108.86,110.1,109.56,5481300
2019-06-28,110.55,111.51,110.24,110.49,109.95,6506700
2019-07-01,111.3,111.97,110.02,110.62,110.08,5514700
2019-07-02,110.83,111.61,110.34,111.6,111.05,4062900
2019-07-03,111.18,112.4,111.0,112.32,111.77,3207300
2019-07-05,112.0,112.24,111.21,111.98,111.43,3579400
2019-07-08,111.92,112.93,111.7,112.72,112.17,4715700
2019-07-09,112.89,113.38,112.6,112.88,112.33,5423400
2019-07-10,113.12,113.61,112.39,112.98,112.43,4579000
2019-07-11,113.34,113.94,113.02,113.92,113.36,3896600
2019-07-12,114.09,114.77,113.62,114.6,114.04,3743300
2019-07-15,114.67,115.08,114.45,114.98,114.42,3346000
2019-07-16,115.33,115.49,114.04,114.76,114.2,3488200
2019-07-17,114.81,115.17,114.2,114.6,114.04,2688500
2019-07-18,114.35,114.78,113.74,114.72,114.16,3223600
2019-07-19,115.0,115.31,113.86,113.9,113.34,3796300
2019-07-22,114.1,114.34,112.32,112.82,112.27,4516900
2019-07-23,113.12,113.2,111.57,112.09,111.54,5754200
2019-07-24,112.03,112.79,111.57,112.0,111.45,4177300
2019-07-25,112.18,112.39,111.66,112.22,111.67,3851500
2019-07-26,112.12,113.34,111.82,113.02,112.47,4729000
2019-07-29,112.84,112.98,111.76,112.27,111.72,3746600
2019-07-30,112.06,112.4,111.67,112.06,111.51,3035200
2019-07-31,111.91,112.34,109.63,110.38,109.84,6211300
2019-08-01,110.32,112.17,109.32,109.38,108.84,7455000
2019-08-02,109.74,110.14,108.15,109.4,108.86,5656700
2019-08-05,108.0,108.0,105.59,105.82,105.3,7570000
2019-08-06,106.19,107.84,105.59,107.27,106.74,7016400
2019-08-07,107.02,108.64,105.92,108.2,107.67,7278500
2019-08-08,108.01,108.84,107.77,108.52,108.52,4374400
2019-08-09,108.06,108.46,106.71,107.28,107.28,4193500
2019-08-12,106.72,106.84,104.84,105.22,105.22,5868400
2019-08-13,105.25,108.11,104.85,107.41,107.41,6675300
2019-08-14,105.48,108.06,105.14,106.2,106.2,9312800
2019-08-15,112.53,113.64,110.16,112.69,112.69,19812900
2019-08-16,114.08,114.93,112.06,112.99,112.99,10965200
2019-08-19,114.35,114.78,113.6,113.81,113.81,7178100
2019-08-20,113.86,114.04,112.01,112.05,112.05,6112300
2019-08-21,113.98,114.07,111.88,112.02,112.02,8156400
2019-08-22,112.2,112.79,111.35,111.91,111.91,5995400
2019-08-23,111.62,111.91,110.13,110.83,110.83,6236700
2019-08-26,111.56,112.27,111.22,111.99,111.99,5935700
2019-08-27,112.42,112.81,111.51,112.42,112.42,5733700
2019-08-28,112.28,113.08,111.68,112.72,112.72,5371000
2019-08-29,114.2,114.59,113.31,114.08,114.08,5270500
2019-08-30,115.0,115.38,113.9,114.26,114.26,5705300
2019-09-03,113.68,115.31,113.49,114.64,114.64,5942700
2019-09-04,115.69,115.96,114.82,115.91,115.91,5782900
2019-09-05,117.67,117.96,115.27,115.44,115.44,5826400
2019-09-06,115.44,115.75,114.62,114.73,114.73,4346400
2019-09-09,114.5,116.61,114.4,116.33,116.33,5973700
2019-09-10,115.99,116.96,115.48,116.05,116.05,4857400
2019-09-11,116.0,116.7,115.22,116.02,116.02,5284100
2019-09-12,116.65,117.07,115.9,116.92,116.92,4474300
2019-09-13,117.16,118.19,116.95,117.43,117.43,5638600
2019-09-16,116.54,117.17,115.38,115.57,115.57,6090300
2019-09-17,115.32,116.69,115.25,116.51,116.51,4604500
2019-09-18,116.91,117.23,116.18,117.16,117.16,3956000
2019-09-19,117.4,117.81,116.77,117.11,117.11,3380600
2019-09-20,117.35,117.64,116.8,116.98,116.98,11332400
2019-09-23,116.61,118.41,116.56,117.62,117.62,5162500
2019-09-24,118.25,119.86,118.01,118.4,118.4,7273100
2019-09-25,118.47,118.72,117.81,118.47,118.47,4613600
2019-09-26,118.8,119.55,118.19,118.3,118.3,3986900
2019-09-27,119.21,119.23,117.75,118.45,118.45,3434700
2019-09-30,118.67,119.44,118.56,118.68,118.68,3401400
2019-10-01,118.85,119.11,117.72,117.85,117.85,3729300
2019-10-02,117.4,117.55,115.61,116.12,116.12,5944500
2019-10-03,115.88,116.8,114.58,116.31,116.31,5206500
2019-10-04,116.4,118.3,116.19,118.16,118.16,4627000
2019-10-07,118.1,118.3,116.88,117.23,117.23,4695000
2019-10-08,116.81,118.67,116.66,117.58,117.58,5125100
